id,temperatureVal,currentVal,vibrationVal,rpmVal,receivedTime,classifier,intClassifier
2890,26.31,0.5,83.69,2754,2016-03-05 13:21:13,noload,1
2891,26.41,0.5,84.2,2754,2016-03-05 13:21:15,noload,1
2892,26.43,0.49,83.74,2772,2016-03-05 13:21:17,noload,1
2893,26.46,0.5,81.99,2763,2016-03-05 13:21:20,noload,1
2894,26.49,0.5,82.14,2760,2016-03-05 13:21:22,noload,1
2895,26.56,0.5,78.38,2754,2016-03-05 13:21:24,noload,1
2896,26.61,0.5,79.45,2769,2016-03-05 13:21:26,noload,1
2897,26.63,0.5,78.77,2766,2016-03-05 13:21:28,noload,1
2898,26.69,0.5,78.44,2769,2016-03-05 13:21:30,noload,1
2899,26.72,0.5,77.88,2757,2016-03-05 13:21:32,noload,1
2900,26.73,0.5,78.16,2751,2016-03-05 13:21:34,noload,1
2901,26.79,0.49,78.57,2748,2016-03-05 13:21:36,noload,1
2902,26.82,0.49,78.51,2736,2016-03-05 13:21:38,noload,1
2903,26.82,0.5,76.72,2751,2016-03-05 13:21:40,noload,1
2904,26.88,0.5,76.45,2748,2016-03-05 13:21:42,noload,1
2905,26.92,0.5,78.66,2754,2016-03-05 13:21:44,noload,1
2906,27.08,2.99,89.82,546,2016-03-05 13:21:52,noload,1
2907,27.06,0.5,88.59,2208,2016-03-05 13:21:54,noload,1
2908,27.08,0.5,85.51,2763,2016-03-05 13:21:56,noload,1
2909,27.05,0.5,83.17,2757,2016-03-05 13:21:58,noload,1
2910,27.06,0.5,81.57,2724,2016-03-05 13:22:01,noload,1
2911,27.11,0.5,78.01,2736,2016-03-05 13:22:03,noload,1
2912,27.19,0.5,79.82,2742,2016-03-05 13:22:05,noload,1
2913,27.29,0.5,79.67,2772,2016-03-05 13:22:07,noload,1
2914,27.35,0.5,83.76,2760,2016-03-05 13:22:09,noload,1
2915,27.42,0.5,79.65,2739,2016-03-05 13:22:11,noload,1
2916,27.41,0.5,83.96,2754,2016-03-05 13:22:13,noload,1
2917,27.36,0.5,84.92,2754,2016-03-05 13:22:15,noload,1
2918,27.36,0.5,84.09,2760,2016-03-05 13:22:17,noload,1
2919,27.52,0.5,80.83,2748,2016-03-05 13:22:19,noload,1
2920,27.56,0.5,79.1,2757,2016-03-05 13:22:21,noload,1
2921,27.58,0.5,82.36,2754,2016-03-05 13:22:23,noload,1
2922,27.61,0.5,82.4,2772,2016-03-05 13:22:25,noload,1
2923,27.62,0.5,78.18,2754,2016-03-05 13:22:27,noload,1
2924,27.66,0.5,81.35,2751,2016-03-05 13:22:29,noload,1
2925,27.69,0.5,77.02,2730,2016-03-05 13:22:31,noload,1
2926,27.74,0.5,76.69,2745,2016-03-05 13:22:33,noload,1
2927,27.78,0.49,77.39,2778,2016-03-05 13:22:35,noload,1
2928,27.83,0.5,77.26,2787,2016-03-05 13:22:37,noload,1
2929,27.85,0.5,78.2,2757,2016-03-05 13:22:40,noload,1
2930,28.01,2.98,79.93,546,2016-03-05 13:22:48,noload,1
2931,28.04,0.5,77.04,2178,2016-03-05 13:22:50,noload,1
2932,28.09,0.5,77.57,2724,2016-03-05 13:22:52,noload,1
2933,28.08,0.5,77.66,2742,2016-03-05 13:22:54,noload,1
2934,28.18,2.99,88,543,2016-03-05 13:23:02,noload,1
2935,28.24,0.49,81.13,2181,2016-03-05 13:23:04,noload,1
2936,28.26,0.5,81.24,2763,2016-03-05 13:23:06,noload,1
2937,28.31,0.5,83.08,2778,2016-03-05 13:23:08,noload,1
2938,28.3,0.5,81.55,2760,2016-03-05 13:23:10,noload,1
2939,28.38,0.5,84.48,2760,2016-03-05 13:23:12,noload,1
2940,28.48,0.49,85.68,2748,2016-03-05 13:23:14,noload,1
2941,28.54,0.5,81.31,2742,2016-03-05 13:23:16,noload,1
2942,28.56,0.49,76.23,2736,2016-03-05 13:23:18,noload,1
2943,28.56,0.49,80.81,2754,2016-03-05 13:23:20,noload,1
2944,28.57,0.49,80.59,2745,2016-03-05 13:23:23,noload,1
2945,28.64,0.5,83.19,2724,2016-03-05 13:23:27,noload,1
2946,28.65,0.49,86.43,2763,2016-03-05 13:23:29,noload,1
2947,28.7,0.49,82.05,2772,2016-03-05 13:23:31,noload,1
2948,28.75,0.49,83.61,2751,2016-03-05 13:23:33,noload,1
2949,28.78,0.49,85.4,2745,2016-03-05 13:23:35,noload,1
2950,28.81,0.49,82.38,2745,2016-03-05 13:23:37,noload,1
2951,28.88,0.49,79.76,2748,2016-03-05 13:23:39,noload,1
2952,28.92,0.49,87.85,2757,2016-03-05 13:23:41,noload,1
2953,28.95,0.49,80.94,2754,2016-03-05 13:23:43,noload,1
2954,28.97,0.49,81.33,2733,2016-03-05 13:23:45,noload,1
2955,28.97,0.49,83.06,2751,2016-03-05 13:23:47,noload,1
2956,28.95,0.49,76.52,2742,2016-03-05 13:23:49,noload,1
2957,28.98,0.49,75.8,2745,2016-03-05 13:23:51,noload,1
2958,29.09,0.49,75.73,2739,2016-03-05 13:23:53,noload,1
2959,29.12,0.49,76.08,2745,2016-03-05 13:23:55,noload,1
2960,29.13,0.49,83.5,2748,2016-03-05 13:23:57,noload,1
2961,29.17,0.49,84.48,2769,2016-03-05 13:23:59,noload,1
2962,29.19,0.49,79.01,2778,2016-03-05 13:24:02,noload,1
2963,29.28,0.49,74.97,2775,2016-03-05 13:24:04,noload,1
2964,29.32,0.49,80.15,2775,2016-03-05 13:24:06,noload,1
2965,29.32,0.49,84.9,2769,2016-03-05 13:24:08,noload,1
2966,29.32,5.48,92.31,3,2016-03-05 13:24:14,noload,1
2967,29.34,0.49,85.62,1104,2016-03-05 13:24:15,noload,1
2968,29.36,0.5,84.57,1653,2016-03-05 13:24:16,noload,1
2969,29.45,0.5,82.51,2196,2016-03-05 13:24:17,noload,1
2970,29.5,0.49,83.96,2742,2016-03-05 13:24:18,noload,1
2971,29.56,0.49,85.88,2748,2016-03-05 13:24:19,noload,1
2972,29.58,0.5,87.76,2742,2016-03-05 13:24:20,noload,1
2973,29.56,0.5,85.27,2742,2016-03-05 13:24:21,noload,1
2974,29.57,0.5,87.41,2745,2016-03-05 13:24:22,noload,1
2975,29.64,0.49,87.02,2754,2016-03-05 13:24:23,noload,1
2976,29.64,0.5,83.74,2754,2016-03-05 13:24:25,noload,1
2977,29.66,0.49,88.16,2766,2016-03-05 13:24:26,noload,1
2978,29.64,0.49,84.31,2769,2016-03-05 13:24:27,noload,1
